models,group,name,Seg-ACC,Seg-AP,Seg-Dice,Seg-FBeta,Seg-MIoU,ASE,semblance,TR,semblance_manual,TASE,MSE_field
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S1,tuning_train_para_250105,jsh,0.9460691213607788,0.001168928225524724,0.004648917354643345,0.01104381028562784,0.001164937159046531,0.3001506328582764,0.2820208527860932,0.3982956627785503,0.1575950042003968,0.4055022001266479,0.09542110114319835
MSFSegNet-31+51-16-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S2,tuning_train_para_250105,syn_us_test,0.99838125705719,0.9910328388214112,0.9817805886268616,0.9907442331314088,0.4821065664291382,0.524745523929596,1.2640529168510222,0.9734375,0.9687173182613946,0.524745523929596,0.0025949634421115
MSFSegNet-31+51-16-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S2,tuning_train_para_250105,bp,0.8990110754966736,0.0068615931086242,0.0254058428108692,0.0566721558570861,0.0064331809990108,0.5979344844818115,1.3208883352339595,0.9744457282142712,0.9851754038224312,0.6540353298187256,0.0080210001508694
MSFSegNet-31+51-16-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S2,tuning_train_para_250105,yz,0.9338197112083436,0.0062659652903676,0.0245884824544191,0.0544694289565086,0.0062236352823674,0.3561724126338959,1.049934548861913,0.555083654339839,0.6138228735351787,0.3997898995876312,0.0481703983165613
MSFSegNet-31+51-16-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S2,tuning_train_para_250105,sh,0.8788478374481201,0.0059043820947408,0.0193736869841814,0.0446917004883289,0.004890798125416,0.4125113487243652,0.5407465378951553,0.9189772525223532,0.5545652726232954,0.5001650452613831,0.0075033572829684
MSFSegNet-31+51-16-tanh-01111-bs16-lr5.0e-03-BCE-SGD-S2,tuning_train_para_250105,jsh,0.9407484531402588,0.0012281411327421,0.0049946312792599,0.0119185345247387,0.0012517839204519,0.3134317398071289,0.2600995604738553,0.5312096918491225,0.1575950042003968,0.4025062322616577,0.0882570089887458
MSFSegNet-31+51-16-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S4,tuning_train_para_250105,syn_us_test,0.9989278515179952,0.99355810880661,0.9880579710006714,0.993804176648458,0.4882031083106994,0.5220158696174622,1.2510723154019938,0.9703125,0.9634350947893704,0.5220158696174622,0.0027490390968461
MSFSegNet-31+51-16-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S4,tuning_train_para_250105,bp,0.8916758298873901,0.0069139036349952,0.0250219898298382,0.0561959445476532,0.0063351837452501,0.5851943492889404,1.277063065377278,0.96865798778198,0.9851754038224312,0.6399450302124023,0.00804435686088
MSFSegNet-31+51-16-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S4,tuning_train_para_250105,yz,0.8994376361370087,0.0062836050055921,0.0199020067229866,0.0458476208150386,0.0050256713293492,0.2779251933097839,0.741666948023672,0.679328274553292,0.6138228735351787,0.3460195362567901,0.0410003201852853
MSFSegNet-31+51-16-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S4,tuning_train_para_250105,sh,0.863889217376709,0.0056879601906985,0.0182117531076073,0.0423646792769432,0.0045948610641062,0.3945813179016113,0.5547038790258939,0.9281789302076696,0.5545652726232954,0.486282616853714,0.0064285567195258
MSFSegNet-31+51-16-tanh-01111-bs8-lr5.0e-03-BCE-SGD-S4,tuning_train_para_250105,jsh,0.9291275143623352,0.0011693836422637,0.0045180858578532,0.0108621572144329,0.001132080622483,0.274943083524704,0.2426365578083639,0.4880053431096006,0.1575950042003968,0.3762807846069336,0.0932958645413869
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S5,tuning_train_para_250105,syn_us_test,0.9989625215530396,0.9936762452125549,0.988242506980896,0.9940275549888611,0.4883791506290436,0.5230063199996948,1.260779986408119,0.9734375000000001,0.9666256590131412,0.5228879451751709,0.002372855727254895
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S5,tuning_train_para_250105,bp,0.8948517441749573,0.00691280048340559,0.02627690695226192,0.05887153744697571,0.006656685378402472,0.5961191058158875,1.300312989099195,0.9733180323744515,0.9851754038224314,0.6522632241249084,0.008227000813466678
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S5,tuning_train_para_250105,yz,0.9070284366607666,0.006251353770494461,0.02044293098151684,0.0468062236905098,0.005163511261343956,0.2577704191207886,0.6372444108304518,0.7405608529227665,0.6138228735351787,0.3362222909927368,0.03924084593901557
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S5,tuning_train_para_250105,sh,0.8724695444107056,0.005890373140573502,0.01926092803478241,0.04460357874631882,0.004862056113779545,0.4043358564376831,0.543764697610187,0.9241969782181488,0.5545652726232954,0.4994980692863464,0.006649990027141063
MSFSegNet-31+51-32-tanh-01111-bs16-lr1.0e-02-BCE-SGD-S5,tuning_train_para_250105,jsh,0.942005455493927,0.001167928683571517,0.004457046743482351,0.01062497030943632,0.001116750412620604,0.3071742653846741,0.2566789008771185,0.4092992846784086,0.1575950042003968,0.4371335506439209,0.09417350852137277
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-04-BCE-SGD-S3,tuning_train_para_250105,syn_us_test,0.9842310547828674,0.9431622425715128,0.8465172052383423,0.9222663640975952,0.3669556975364685,0.5362503528594971,1.35230385156747,0.9958333333333332,0.9634350947893704,0.5369711518287659,0.0040835046378314
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-04-BCE-SGD-S3,tuning_train_para_250105,bp,0.8925299942493439,0.0068965186364948,0.0291245467960834,0.0653950236737728,0.0073891116771847,0.6058281660079956,1.3773892458992765,0.9822926535107128,0.9851754038224312,0.6587525606155396,0.0103744439770555
MSFSegNet-31+51-32-tanh-01111-bs8-lr1.0e-04-BCE-SGD-S3,tuning_train_para_250105,yz,0.91738623380661,0.0061222920194268,0.0250347582623362,0.0567314624786376,0.0063382964581251,0.3590505719184875,1.152650712565594,0.7114731518492218,0.6138228735351787,0.3894043564796448,0.0282192898108612
